Month,Year,Garbage,Recycling,Refuse (ICI Waste),Diversion,Generation
January,2013,269.26,0,0,0,0
January,2014,238.71,0,0,0,0
January,2015,200.55,86.64,0,0.3,287.19
January,2016,227.86,88.86,0,0.33,338.87
January,2017,265.38,88.86,0,0.28,367.37
January,2018,224.98,94.21,0,0.3,319.19
January,2019,276.03,115.97,0.19,0.3,392.19
January,2020,274.43,100.39,0.46,0.27,375.28
January,2021,164.14,55.57,0,0.25,219.71
January,2022,0,0,0,0,0
February,2013,234.86,0,0,0,0
February,2014,241.36,0,0,0,0
February,2015,267.06,84.27,0,0.24,351.33
February,2016,225.9,114.08,0,0.28,314.76
February,2017,256.05,114.08,0,0.26,346.65
February,2018,242.59,88.48,0,0.27,331.07
February,2019,216.02,85.43,0.45,0.28,301.9
February,2020,250.16,92.35,0,0.27,342.51
February,2021,86.18,32.1,0,0.27,118.28
February,2022,0,0,0,0,0
March,2013,252.7,0,0,0,0
March,2014,264.91,0,0,0,0
March,2015,254.21,91.85,1.88,0.26,347.94
March,2016,244.56,1085.45,0,0.32,358.64
March,2017,294.1,1085.45,0,0.25,392.55
March,2018,254.2,105.33,0,0.29,359.53
March,2019,285.37,101.84,0,0.26,387.21
March,2020,267.71,78.38,0,0.23,346.09
March,2021,119.09,42.49,0,0.26,161.58
March,2022,0,0,0,0,0
April,2013,323.23,0,0,0,0
April,2014,281,0,0,0,0
April,2015,305.27,95.24,0,0.24,400.51
April,2016,285.51,80.66,0,0.28,396.59
April,2017,306.57,100.48,0,0.25,407.05
April,2018,342.78,89.26,0,0.21,432.04
April,2019,324.03,103.35,0.13,0.24,427.51
April,2020,184.09,39.59,0,0.18,223.68
April,2021,170.6,40.58,3.25,0.19,214.43
April,2022,0,0,0,0,0
May,2013,208.77,0,0,0,0
May,2014,235.51,0,0,0,0
May,2015,228.06,75.37,0,0.25,303.43
May,2016,229.07,72.31,0,0.26,309.73
May,2017,224.23,78.18,0,0.26,302.41
May,2018,255.63,84.24,0,0.25,339.87
May,2019,238.38,83.92,0.71,0.26,323.01
May,2020,173.17,39.66,0.24,0.19,213.07
May,2021,134.18,39.88,0,0.23,174.06
May,2022,0,0,0,0,0
June,2013,167.4,0,0,0,0
June,2014,171.69,0,0,0,0
June,2015,183.53,70.02,0,0.28,253.55
June,2016,179.38,78.11,0,0.29,251.69
June,2017,183.97,70.07,0,0.28,254.04
June,2018,195.73,74.01,0.19,0.27,269.93
June,2019,173.04,76.54,0,0.31,249.58
June,2020,161.31,50.3,0,0.24,211.61
June,2021,146.48,46.61,0,0.24,193.09
June,2022,0,0,0,0,0
July,2013,213.72,0,0,0,0
July,2014,198.1,76.41,0,0.28,274.51
July,2015,176.2,77.96,0,0.31,254.16
July,2016,158.94,80.4,0,0.33,237.05
July,2017,188.28,78.37,0,0.29,266.65
July,2018,212.85,68.83,0,0.24,281.68
July,2019,246.32,89.7,0.51,0.27,336.53
July,2020,133.13,33.54,0,0.2,166.67
July,2021,134.88,47.4,0,0.26,182.28
July,2022,0,0,0,0,0
August,2013,213.93,0,0,0,0
August,2014,201.22,84.49,0,0.3,285.71
August,2015,179.59,75.4,0,0.3,254.99
August,2016,217.23,113.45,0,0.27,297.63
August,2017,244.26,96.69,0,0.28,340.95
August,2018,245.96,90.44,0.41,0.27,336.81
August,2019,248.34,89.62,0,0.27,337.96
August,2020,149.4,43.18,0,0.22,192.58
August,2021,164.41,52.46,0,0.24,216.87
August,2022,0,0,0,0,0
September,2013,269.2,0,0,0,0
September,2014,255.84,97.33,0,0.28,353.17
September,2015,237.35,96.22,1.08,0.29,334.65
September,2016,299.24,96.8,0,0.27,412.69
September,2017,302.18,114.55,0.1,0.27,416.83
September,2018,249.37,119.37,0.31,0.32,369.05
September,2019,262.35,114.34,0.36,0.3,377.05
September,2020,166.36,46.4,0,0.22,212.76
September,2021,0,117.93,0,1,117.93
September,2022,0,0,0,0,0
October,2013,285.45,0,0,0,0
October,2014,265.39,102.09,0,0.28,367.48
October,2015,253.39,93.67,0,0.27,347.06
October,2016,252.25,99.12,0.15,0.28,349.2
October,2017,330.97,107.69,0,0.25,438.66
October,2018,294.32,110.71,0.6,0.27,405.63
October,2019,269.46,107.82,0.44,0.29,377.72
October,2020,167.91,44.69,0,0.21,212.6
October,2021,0,0,0,0,0
October,2022,0,0,0,0,0
November,2013,240.4,0,0,0,0
November,2014,272.62,89.61,0,0.25,362.23
November,2015,258.45,100.86,0,0.28,359.31
November,2016,302.89,75.98,0,0.25,402.01
November,2017,307.24,102.94,0,0.25,410.18
November,2018,297.27,109.46,0.58,0.27,407.31
November,2019,254.71,110.24,0,0.3,364.95
November,2020,140.06,38.95,0,0.22,179.01
November,2021,0,0,0,0,0
November,2022,0,0,0,0,0
December,2013,224.3,0,0,0,0
December,2014,224.77,83.92,0,0.27,308.69
December,2015,226.26,86.76,0,0.28,313.02
December,2016,175.56,101.99,0,0.3,251.54
December,2017,219.85,87.44,0,0.28,307.29
December,2018,245.59,87.41,0,0.26,333
December,2019,224.42,81.35,0,0.27,305.77
December,2020,146.98,38.79,0,0.21,185.77
December,2021,0,0,0,0,0
December,2022,0,0,0,0,0